customer_id,product_id,basket_date,basket_count
4784,6896403,5/27/2019,2
8314,3766775,5/25/2019,3
8314,3328663,5/25/2019,2
8857,2268129,5/25/2019,2
9273,46741621,6/7/2019,2
11172,38853369,6/8/2019,2
12272,232285,6/15/2019,2
18923,39543957,6/11/2019,2
22527,27104159,6/9/2019,2
24426,3282345,5/20/2019,2
24426,31933743,6/12/2019,2
24724,41200372,5/25/2019,2
26490,48666653,6/8/2019,2
29223,36430532,5/21/2019,3
29223,38115857,5/21/2019,3
30615,32350937,6/10/2019,2
30615,43536251,6/10/2019,2
33242,2899065,5/30/2019,2
34655,5773708,5/28/2019,2
40294,32434229,5/23/2019,2
41893,37631175,5/31/2019,2
41893,5904605,5/31/2019,2
47388,4129569,5/25/2019,2
49893,7127291,6/14/2019,3
100,100,ACD,AAA
1,11,ACD,DFS
34655,5773708,5/28/2019,2
40294,32434229,5/23/2019,2
41893,37631175,5/31/2019,2
41893,5904605,5/31/2019,2
47388,4129569,5/25/2019,2
49893,7127291,6/14/2019,3
