customer_id,product_id,basket_date,basket_count
4784,32125793,5/26/2019,3
8314,49215530,6/18/2019,3
8314,31716873,6/8/2019,5
8857,42215883,6/17/2019,5
9273,44245518,5/30/2019,4
68898,13899159,5/27/2019,2
68944,44161955,5/26/2019,2
72263,41881971,5/21/2019,2
78333,6693395,5/28/2019,2
94733,48707652,6/11/2019,2
108219,31381934,6/19/2019,2
110497,44445825,6/12/2019,2
110497,31991199,6/12/2019,2
113598,42521398,6/5/2019,2
123587,2746597,5/25/2019,2
127059,49239327,6/7/2019,2
128887,46401682,6/13/2019,2
141826,1869259,5/27/2019,2
144594,42102274,6/9/2019,2
166962,42208488,5/25/2019,2
167432,46929149,5/24/2019,2
173225,40946466,6/8/2019,4
192942,49740819,6/8/2019,2
197431,35221320,5/21/2019,2
197483,36402096,5/27/2019,2
